name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Zach Randolph","Memphis Grizzlies",2016-04-09,2015,1017,1610612763,400829077,3,11,44,0,"Jump Shot","2PT Field Goal",18,"Golden State Warriors",179,28,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2015-12-20,2015,3136195,1610612750,400828290,2,5,48,0,"Jump Shot","2PT Field Goal",20,"Brooklyn Nets",10,200,0,0.80,"Lopez, Brook",5.70,16.00
"Lance Stephenson","Memphis Grizzlies",2016-02-26,2015,4244,1610612763,400828755,3,0,00,0,"Jump Shot","3PT Field Goal",27,"Los Angeles Lakers",177,208,0,0.00,,0.00,0.00
"Terrence Ross","Toronto Raptors",2015-12-20,2015,6619,1610612761,400828295,4,7,05,0,"Jump Shot","3PT Field Goal",26,"Sacramento Kings",-217,144,0,0.80,"Collison, Darren",2.40,10.90
"Elliot Williams","Memphis Grizzlies",2016-01-14,2015,4294,1610612763,400828476,2,10,22,0,"Jump Shot","2PT Field Goal",17,"Detroit Pistons",133,115,13,11.30,"Jennings, Brandon",3.40,12.70
"Terrence Ross","Toronto Raptors",2015-12-20,2015,6619,1610612761,400828295,2,6,51,0,"Jump Shot","3PT Field Goal",24,"Sacramento Kings",-240,-11,0,0.80,"McLemore, Ben",3.60,14.00
"Mirza Teletovic","Phoenix Suns",2016-04-09,2015,4385,1610612756,400829076,3,7,13,0,"Jump Shot","3PT Field Goal",24,"New Orleans Pelicans",89,232,0,0.00,,0.00,0.00
"Kemba Walker","Charlotte Hornets",2016-01-27,2015,6479,1610612766,400828577,1,4,39,0,"Jump Shot","2PT Field Goal",17,"Utah Jazz",-179,2,0,0.00,,0.00,0.00
"Brandon Rush","Golden State Warriors",2016-01-14,2015,3457,1610612744,400828479,4,1,18,0,"Jump Shot","2PT Field Goal",9,"Los Angeles Lakers",-89,26,3,1.90,"Russell, D'Angelo",3.50,17.20
"Elfrid Payton","Orlando Magic",2015-12-20,2015,2583639,1610612753,400828294,2,8,28,0,"Jump Shot","3PT Field Goal",24,"Atlanta Hawks",-238,36,0,1.00,"Korver, Kyle",10.40,11.00
"Victor Oladipo","Orlando Magic",2016-01-09,2015,2527963,1610612753,400828439,3,0,31,0,"Jump Shot","3PT Field Goal",24,"Washington Wizards",28,247,14,15.80,"Gortat, Marcin",6.40,8.00
"Iman Shumpert","Cleveland Cavaliers",2015-12-28,2015,6468,1610612739,400828353,4,7,29,1,"Jump Shot","3PT Field Goal",24,"Phoenix Suns",101,218,0,0.80,"Warren, TJ",13.50,9.30
"KarlAnthony Towns","Minnesota Timberwolves",2016-04-09,2015,3136195,1610612750,400829079,2,8,59,1,"Jump Shot","2PT Field Goal",20,"Portland Trail Blazers",150,136,0,0.00,,0.00,0.00
"Hollis Thompson","Philadelphia 76ers",2016-04-10,2015,6634,1610612755,400829084,1,0,43,0,"Jump Shot","2PT Field Goal",3,"Milwaukee Bucks",-29,8,0,0.00,,0.00,0.00
"Dennis Schroder","Atlanta Hawks",2016-04-07,2015,3032979,1610612737,400829060,3,1,58,0,"Jump Shot","2PT Field Goal",21,"Toronto Raptors",210,62,0,0.00,,0.00,0.00
"Jahlil Okafor","Philadelphia 76ers",2015-12-20,2015,3135048,1610612755,400828292,3,8,11,0,"Jump Shot","2PT Field Goal",7,"Cleveland Cavaliers",-65,33,1,5.60,"Mozgov, Timofey",2.10,14.40
"Nikola Vucevic","Orlando Magic",2016-02-26,2015,6478,1610612753,400828750,1,4,11,0,"Jump Shot","2PT Field Goal",20,"New York Knicks",15,203,0,0.00,,0.00,0.00
"Jahlil Okafor","Philadelphia 76ers",2015-12-20,2015,3135048,1610612755,400828292,1,5,57,0,"Jump Shot","2PT Field Goal",14,"Cleveland Cavaliers",-19,144,1,2.30,"Mozgov, Timofey",4.50,12.80
"Russell Westbrook","Oklahoma City Thunder",2016-04-09,2015,3468,1610612760,400829080,3,3,18,0,"Jump Shot","3PT Field Goal",24,"Sacramento Kings",-148,198,0,0.00,,0.00,0.00
"Terrence Ross","Toronto Raptors",2015-12-20,2015,6619,1610612761,400828295,3,5,57,0,"Jump Shot","3PT Field Goal",25,"Sacramento Kings",-217,129,0,0.90,"Rondo, Rajon",5.30,10.30
"Tony Parker","San Antonio Spurs",2016-01-14,2015,1015,1610612759,400828477,4,9,54,0,"Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",-143,228,0,0.80,"Dellavedova, Matthew",6.50,9.10
"Klay Thompson","Golden State Warriors",2016-04-10,2015,6475,1610612744,400829088,3,9,43,0,"Jump Shot","3PT Field Goal",24,"San Antonio Spurs",202,131,0,0.00,,0.00,0.00
"JR Smith","Cleveland Cavaliers",2016-04-09,2015,2444,1610612739,400829078,2,0,41,0,"Jump Shot","3PT Field Goal",25,"Chicago Bulls",-201,160,0,0.00,,0.00,0.00
"Tony Wroten","Philadelphia 76ers",2015-12-20,2015,6630,1610612755,400828292,3,3,23,0,"Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",68,237,3,3.50,"Mozgov, Timofey",5.20,4.90
"Klay Thompson","Golden State Warriors",2016-01-14,2015,6475,1610612744,400828479,1,9,30,0,"Jump Shot","2PT Field Goal",5,"Los Angeles Lakers",38,38,3,2.40,"Williams, Lou",4.30,16.90
"Jameer Nelson","Denver Nuggets",2015-12-20,2015,2439,1610612743,400828296,4,2,30,0,"Jump Shot","2PT Field Goal",19,"New Orleans Pelicans",-143,126,10,10.90,"Davis, Anthony",4.10,3.00
"Zach Randolph","Memphis Grizzlies",2016-04-09,2015,1017,1610612763,400829077,2,2,54,0,"Jump Shot","2PT Field Goal",21,"Golden State Warriors",168,129,0,0.00,,0.00,0.00
"Jeff Teague","Atlanta Hawks",2015-12-20,2015,4015,1610612737,400828294,4,4,05,0,"Jump Shot","2PT Field Goal",19,"Orlando Magic",-79,174,4,2.80,"Payton, Elfrid",2.10,10.50
"Klay Thompson","Golden State Warriors",2016-01-14,2015,6475,1610612744,400828479,1,5,21,0,"Jump Shot","2PT Field Goal",18,"Los Angeles Lakers",-101,159,0,0.60,"Williams, Lou",3.20,9.00
"Kyle OQuinn","New York Knicks",2016-04-10,2015,6615,1610612752,400829089,4,7,48,0,"Jump Shot","2PT Field Goal",11,"Toronto Raptors",-106,33,0,0.00,,0.00,0.00
"Kelly Olynyk","Boston Celtics",2016-04-09,2015,2489663,1610612738,400829075,2,11,10,1,"Jump Shot","3PT Field Goal",24,"Atlanta Hawks",97,223,0,0.00,,0.00,0.00
"Thabo Sefolosha","Atlanta Hawks",2015-12-20,2015,3028,1610612737,400828294,3,0,31,0,"Jump Shot","3PT Field Goal",25,"Orlando Magic",-189,178,0,1.10,"Gordon, Aaron",8.80,16.20
"Dirk Nowitzki","Dallas Mavericks",2016-01-24,2015,609,1610612742,400828552,1,6,48,1,"Jump Shot","3PT Field Goal",23,"Houston Rockets",-233,0,0,0.00,,0.00,0.00
"Mike Scott","Atlanta Hawks",2015-12-20,2015,6622,1610612737,400828294,2,7,39,0,"Jump Shot","2PT Field Goal",5,"Orlando Magic",9,56,0,1.70,"Frye, Channing",1.80,7.60
"Kyle Singler","Oklahoma City Thunder",2016-04-09,2015,6469,1610612760,400829080,1,2,54,1,"Jump Shot","3PT Field Goal",25,"Sacramento Kings",210,139,0,0.00,,0.00,0.00
"Jeff Teague","Atlanta Hawks",2016-01-28,2015,4015,1610612737,400828579,2,2,34,0,"Jump Shot","2PT Field Goal",17,"Indiana Pacers",2,178,0,0.00,,0.00,0.00
"Anthony Tolliver","Detroit Pistons",2016-01-14,2015,3276,1610612765,400828476,4,1,49,0,"Jump Shot","3PT Field Goal",23,"Memphis Grizzlies",236,-34,0,0.80,"Randolph, Zach",6.90,10.90
"Garrett Temple","Washington Wizards",2016-02-09,2015,4023,1610612764,400828672,2,7,44,0,"Jump Shot","3PT Field Goal",24,"New York Knicks",207,136,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-04-09,2015,3059319,1610612750,400829079,1,3,35,0,"Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",-125,223,0,0.00,,0.00,0.00
"TJ Warren","Phoenix Suns",2015-12-20,2015,2982334,1610612756,400828293,3,3,21,0,"Jump Shot","3PT Field Goal",24,"Milwaukee Bucks",158,190,0,0.80,"Middleton, Khris",7.20,4.30
"Nik Stauskas","Philadelphia 76ers",2016-01-14,2015,2991042,1610612755,400828474,2,5,12,0,"Jump Shot","3PT Field Goal",24,"Chicago Bulls",240,21,0,0.70,"McDermott, Doug",7.10,10.80
"Jason Smith","Orlando Magic",2016-04-10,2015,3232,1610612753,400829087,1,1,54,0,"Jump Shot","2PT Field Goal",16,"Miami Heat",60,159,0,0.00,,0.00,0.00
