name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"DeAndre Jordan","Los Angeles Clippers",2015-12-14,2015,3442,1610612746,400828246,1,4,11,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Detroit Pistons",-14,8,0,0.00,"Drummond, Andre",1.50,14.60
"JaVale McGee","Dallas Mavericks",2016-01-22,2015,3452,1610612742,400828538,2,6,47,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,"Singler, Kyle",2.90,12.60
"DeAndre Jordan","Los Angeles Clippers",2016-02-08,2015,3442,1610612746,400828664,5,4,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2015-12-12,2015,3442,1610612746,400828231,1,5,10,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.40,"Lopez, Brook",3.20,14.30
"JaVale McGee","Dallas Mavericks",2016-01-15,2015,3452,1610612742,400828484,2,11,08,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,1,0.60,"Noah, Joakim",2.90,24.00
"DeAndre Jordan","Los Angeles Clippers",2016-01-02,2015,3442,1610612746,400828392,3,7,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,"Okafor, Jahlil",4.40,8.20
"DeAndre Jordan","Los Angeles Clippers",2015-12-05,2015,3442,1610612746,400828185,1,5,51,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Orlando Magic",9,16,0,0.00,"Oladipo, Victor",4.50,14.90
"Greg Monroe","Milwaukee Bucks",2016-01-22,2015,4260,1610612749,400828537,4,9,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,1,0.70,"Thornton, Marcus",6.00,23.30
"Serge Ibaka","Oklahoma City Thunder",2016-01-20,2015,3439,1610612760,400828523,2,4,02,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.00,"Hawes, Spencer",3.40,20.20
"DeAndre Jordan","Los Angeles Clippers",2016-01-02,2015,3442,1610612746,400828392,3,5,33,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.30,"Grant, Jerami",6.90,20.00
"DeAndre Jordan","Los Angeles Clippers",2015-12-05,2015,3442,1610612746,400828185,2,8,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,"Nicholson, Andrew",1.20,20.80
"DeAndre Jordan","Los Angeles Clippers",2016-01-22,2015,3442,1610612746,400828535,1,2,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,"Porzingis, Kristaps",5.10,13.10
"Kawhi Leonard","San Antonio Spurs",2015-12-21,2015,6450,1610612759,400828303,2,2,14,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,0,0.60,"George, Paul",2.90,23.90
"Shaun Livingston","Golden State Warriors",2016-03-01,2015,2393,1610612744,400828782,1,9,10,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-01-15,2015,1966,1610612739,400828488,1,6,18,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,"Beverley, Patrick",1.80,24.00
"LeBron James","Cleveland Cavaliers",2016-01-02,2015,1966,1610612739,400828386,1,9,47,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,"Fournier, Evan",5.10,21.30
